step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl
41,0.5415,0.3438,0.9933,1054,0.004464,149.9,50.74,1e-05,0.05325,0.9818,0.9948,0.003452,0.3845,0,0.008064,1.867,1.757
42,0.5783,0.3839,0.9866,953.7,0.01339,149.9,88.66,1e-05,0.06045,0.9843,0.9948,0.002439,0.3996,0,0.005969,2.004,1.875
43,0.5643,0.375,0.9732,1006,0.02679,149.9,76.83,1e-05,0.0479,0.9895,0.9962,0.001468,0.4045,0,0.00578,1.651,1.568
44,0.6118,0.4196,0.9821,1102,0.01786,149.9,59.03,1e-05,0.05043,0.9894,0.9963,0.001495,0.4476,0,0.006953,1.78,1.683
45,0.6509,0.4509,1,656.8,0,149.9,14.41,1e-05,0.08821,0.9805,0.9929,0.004089,0.4314,0,0.004848,1.949,1.764
46,0.5725,0.375,0.9955,984.2,0.004464,149.9,54.11,1e-05,0.07554,0.9819,0.9928,0.003371,0.427,0,0.00458,1.918,1.758
47,0.5732,0.3795,0.9821,792.4,0.01339,149.9,57.85,1e-05,0.08025,0.9858,0.9948,0.001757,0.4554,0,0.006335,2.068,1.895
48,0.6201,0.4241,0.9911,1048,0.008929,149.9,57.88,1e-05,0.05388,0.989,0.997,0.001428,0.4629,0,0.007254,1.885,1.782
49,0.5164,0.3214,0.9911,1064,0.004464,149.9,36.87,1e-05,0.05997,0.9864,0.9955,0.002123,0.4533,0,0.005546,2.048,1.92
50,0.608,0.4196,0.9688,978.5,0.02679,150,93.24,1e-05,0.08051,0.9779,0.9903,0.004752,0.3907,0,0.006897,2.097,1.918
51,0.5926,0.4062,0.971,907.5,0.02679,150,63.46,1e-05,0.08232,0.9815,0.9937,0.003295,0.4582,0,0.006099,2.242,2.062
52,0.538,0.3393,0.9978,743,0,150,32.84,1e-05,0.072,0.9812,0.9929,0.003572,0.4252,0,0.005499,1.976,1.825
53,0.5685,0.3795,0.9732,1003,0.02679,150,62.56,1e-05,0.06195,0.9836,0.9947,0.003162,0.4161,0,0.006262,1.966,1.832
54,0.664,0.4643,1,995.1,0,150,75.99,1e-05,0.07446,0.9755,0.9888,0.005954,0.3916,0,0.006,2.055,1.879
55,0.5944,0.3973,0.9955,1049,0,150,75.86,1e-05,0.06341,0.9855,0.9946,0.002547,0.424,0,0.006709,1.772,1.662
56,0.5701,0.375,0.9888,1177,0.004464,150,80.89,1e-05,0.0678,0.9814,0.9931,0.003983,0.427,0,0.007428,1.836,1.697
57,0.5771,0.3795,0.9955,858.6,0.004464,150,46.12,1e-05,0.06414,0.9838,0.9934,0.002849,0.4389,0,0.006024,1.924,1.783
58,0.6357,0.4375,0.9955,679.8,0.004464,150,31.16,1e-05,0.09237,0.9728,0.9877,0.006385,0.4435,0,0.005242,2.201,1.975
59,0.6411,0.442,0.9955,827.6,0,102.1,55.12,1e-05,0.08857,0.9753,0.9903,0.005927,0.4223,0,0.005256,2.085,1.879
60,0.4806,0.2857,0.9866,1179,0.008929,142.8,89.56,1e-05,0.06641,0.986,0.9929,0.002487,0.4165,0,0.007856,1.774,1.636
61,0.5101,0.317,0.9821,1022,0.01339,142.8,68.1,1e-05,0.05579,0.9893,0.9954,0.001541,0.3582,0,0.00887,1.61,1.526
62,0.5821,0.3884,0.9866,1327,0.01339,142.8,86.77,1e-05,0.0506,0.9882,0.9964,0.001888,0.4637,0,0.007219,1.665,1.58
63,0.5661,0.3705,0.9866,843.5,0.008929,142.8,20.07,1e-05,0.0713,0.9862,0.9965,0.002353,0.4045,0,0.005842,1.696,1.572
64,0.615,0.4152,1,718.8,0,142.8,48.9,1e-05,0.07492,0.9874,0.9957,0.001756,0.397,0,0.005233,1.748,1.617
65,0.5924,0.4018,0.971,997.4,0.01786,142.8,54.75,1e-05,0.05546,0.9899,0.9964,0.001341,0.4272,0,0.005676,1.588,1.501
66,0.5583,0.3705,0.9643,1300,0.02232,142.8,54,1e-05,0.05286,0.9893,0.9964,0.001193,0.4701,0,0.00657,1.936,1.834
67,0.5766,0.3839,0.9844,833.4,0.01339,142.8,45.16,1e-05,0.07704,0.9839,0.993,0.002892,0.4257,0,0.005927,1.841,1.698
68,0.6116,0.4196,0.9777,902.1,0.01786,142.8,62.32,1e-05,0.0612,0.9892,0.9962,0.001535,0.4257,0,0.006396,1.72,1.614
69,0.5938,0.3973,0.9911,918,0.008929,142.8,82.6,1e-05,0.07122,0.9838,0.9923,0.003573,0.461,0,0.006331,1.825,1.681
70,0.6695,0.4732,0.9911,663.6,0.008929,142.8,82.63,1e-05,0.07468,0.9873,0.9957,0.002047,0.4228,0,0.005633,1.738,1.611
71,0.5753,0.3795,0.9911,782.5,0.004464,142.8,36.95,1e-05,0.08002,0.9864,0.9947,0.002263,0.4063,0,0.004564,1.726,1.591
72,0.6063,0.4062,1,734,0,142.8,16.44,1e-05,0.06316,0.9856,0.9952,0.002344,0.4417,0,0.005332,1.687,1.581
73,0.578,0.3839,0.9799,795.2,0.008929,142.8,61.5,1e-05,0.06125,0.985,0.9947,0.00287,0.3903,0,0.006216,1.671,1.568
74,0.4377,0.2455,0.9821,851.1,0.01339,142.8,68.16,1e-05,0.08687,0.9849,0.9932,0.002539,0.3555,0,0.006848,1.797,1.643
75,0.5534,0.3571,0.9911,924.4,0.008929,142.8,57.29,1e-05,0.06168,0.9844,0.9941,0.0031,0.4082,0,0.004867,1.844,1.718
76,0.5827,0.3839,1,936.6,0,142.8,66.04,1e-05,0.06306,0.9831,0.9943,0.003381,0.4315,0,0.006998,1.823,1.698
77,0.5915,0.3973,0.9799,923.8,0.008929,142.8,59.12,1e-05,0.06168,0.9846,0.9945,0.003129,0.3721,0,0.007619,1.781,1.655
78,0.5348,0.3348,1,920.7,0,142.8,65.17,1e-05,0.06012,0.988,0.9943,0.002177,0.4136,0,0.005191,1.62,1.526
79,0.5033,0.308,0.9933,1001,0.004464,142.8,84.67,1e-05,0.06011,0.9875,0.9961,0.002201,0.4217,0,0.005688,1.579,1.483
80,0.4141,0.2321,0.9554,1436,0.04018,142.8,47.53,1e-05,0.05564,0.9872,0.995,0.001956,0.4043,0,0.007591,1.691,1.592
81,0.4583,0.2723,0.9688,1305,0.02679,142.8,58.07,1e-05,0.06414,0.985,0.9937,0.002954,0.4037,0,0.007273,1.671,1.558
82,0.4945,0.2991,0.9911,1202,0.008929,142.8,63.15,9.99e-06,0.06587,0.9876,0.9956,0.00194,0.4226,0,0.006322,1.733,1.604
83,0.5177,0.3214,0.9955,1242,0.004464,142.8,56.06,9.99e-06,0.04994,0.989,0.9969,0.001311,0.4056,0,0.006516,1.768,1.677
84,0.4491,0.2589,0.9777,1213,0.02232,142.8,38.74,9.99e-06,0.05855,0.9892,0.9968,0.001371,0.4255,0,0.00744,1.665,1.565
85,0.5681,0.3705,0.9955,987.6,0.004464,142.8,55,9.99e-06,0.0634,0.9839,0.994,0.003125,0.4376,0,0.005511,1.888,1.742
86,0.4453,0.25,0.9911,1046,0.008929,142.8,66.81,9.99e-06,0.05252,0.9885,0.9969,0.001512,0.4161,0,0.006324,1.77,1.675
87,0.4663,0.2768,0.9777,1301,0.01786,142.8,81.86,9.99e-06,0.05677,0.988,0.9971,0.00181,0.3929,0,0.005895,1.824,1.712
88,0.4392,0.2455,0.9866,959.6,0.008929,142.8,47.35,9.99e-06,0.07027,0.9862,0.995,0.002288,0.3844,0,0.00599,1.945,1.798
89,0.5917,0.4018,0.9799,1083,0.01786,142.8,80.64,9.99e-06,0.09492,0.9774,0.9896,0.005688,0.4095,0,0.004889,1.85,1.663
90,0.7268,0.5268,1,498,0,142.8,42.19,9.99e-06,0.1136,0.9769,0.9852,0.005013,0.4597,0,0.004429,1.839,1.616
91,0.6014,0.4107,0.9821,1398,0.01786,149.9,93.8,9.99e-06,0.04727,0.9897,0.9958,0.001434,0.4503,0,0.008506,1.557,1.484
